中部門コード,中部門名称,売上日付,部門区分,売上№,送り状№,受注№,得意先コード,得意先名称,納品先コード,納品先名称,売上担当者コード,売上担当者名称,大部門コード,大部門名称,相手先伝票№,送り状番号,伝票区分名,納入日付,送り状発行区分,運送会社コード,運送会社名称,配送区分,得意先締日,消費税率,帳端区分,取引区分,在庫管理NO.,品名コード,品名,規格,目付コード,寸法,単重,入数,個数,総重量,計算区分名,売上単価,売上金額,消費税金額,原価単価,原価金額,出庫倉庫コード,出庫倉庫名,行摘要１,行摘要２,備考,ユーザーID,ユーザー名称
2,営業２部,20250401,2,00198549,00134578,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134578,売上,20250401,2,029,日本ロジコム(下浦),配達,末日,10,0,商品,L125033335,2L2300,SAPH440-P,,," 3.200 ×    180.00 ×  C",1010,0,2,2020,ｔ単価,127000,256540,25654,125231.68,252968,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198550,00134580,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134580,売上,20250401,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125033339,2L2300,SS400-P,,," 4.000 ×    135.00 ×  C",1560,0,3,4680,ｔ単価,133000,622440,62244,105474.45,493620,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198550,00134580,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134580,売上,20250401,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L124110932,2L2300,SS400-P,,," 3.000 ×    185.00 ×  C",2065,0,1,2065,ｔ単価,133000,274645,27465,117757.87,243170,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198553,00134551,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134551,売上,20250401,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,L125031351,2L2300,SAPH440-P,,," 2.000 ×    112.00 ×  C",510,0,3,1530,ｔ単価,138000,211140,21114,132932.68,203387,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198553,00134551,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134551,売上,20250401,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,L125032646,2L2300,SAPH440-P,,," 2.000 ×    112.00 ×  C",1040,0,4,4160,ｔ単価,138000,574080,57408,133691.23,556156,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198556,00134552,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134552,売上,20250401,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,L125032648,2L2300,SS400-P,,," 2.300 ×    160.00 ×  C",1910,0,6,11460,ｔ単価,120000,1375200,137520,106267.10,1217821,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250401,2,00198565,00134492,,21960020,駒井製作所,00218630,駒井製作所,00000230,竹原,2,大阪本店,,134492,売上,20250401,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125030859,2L2400,SPCC-SD,,," 1.200 ×    389.80 ×  C",1845,0,2,3690,ｔ単価,137000,505530,50553,123120.60,454315,00000204,南港Ｂ倉庫,,,,2252,吉岡大貴
2,営業２部,20250401,2,00198565,00134492,,21960020,駒井製作所,00218630,駒井製作所,00000230,竹原,2,大阪本店,,134492,売上,20250401,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125032431,2L2400,SPCC-SD,,," 1.200 ×    389.80 ×  C",1225,0,1,1225,ｔ単価,137000,167825,16783,122192.24,149685,00000204,南港Ｂ倉庫,,,,2252,吉岡大貴
2,営業２部,20250401,2,00198589,00134637,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134637,売上,20250401,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125021534,2L1000,ＥＣ," T-2.5",," 0.190 ×     38.00 ×  C",89,0,3,267,ｔ単価,326000,87042,8704,233441.95,62329,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250401,2,00198589,00134637,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134637,売上,20250401,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125031833,2L1000,ＥＣ," T-2.5",," 0.190 ×     38.00 ×  C",82,0,2,164,ｔ単価,326000,53464,5346,235595.53,38638,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250401,2,00198591,00134599,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134599,売上,20250401,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L124100614,2L1000,ＥＣ," T-2 N57",," 0.200 ×     62.00 ×  C",162,0,1,162,ｔ単価,326000,52812,5281,96532.19,15638,00000205,南港Ｃ倉庫,実厚0.20,,,2253,畠中秋輝
2,営業２部,20250401,2,00198591,00134599,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134599,売上,20250401,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L124101315,2L1000,ＥＣ," T-2 N57",," 0.200 ×     62.00 ×  C",114,0,7,798,ｔ単価,326000,260148,26015,100476.19,80180,00000205,南港Ｃ倉庫,実厚0.20,,,2253,畠中秋輝
2,営業２部,20250401,2,00198591,00134599,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134599,売上,20250401,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L124101772,2L1000,ＥＣ," T-2 N57",," 0.200 ×     62.00 ×  C",115,0,3,345,ｔ単価,326000,112470,11247,100478.26,34665,00000205,南港Ｃ倉庫,実厚0.20,,,2253,畠中秋輝
2,営業２部,20250401,2,00198591,00134599,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134599,売上,20250401,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L125020427,2L1000,ＥＣ," T-2.5",," 0.200 ×     84.00 ×  C",198,0,5,990,ｔ単価,326000,322740,32274,232567,230241,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250401,2,00198591,00134599,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134599,売上,20250401,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L125031763,2L1000,ＥＣ,2.8/2.8 T2.5BA R1 G,," 0.240 ×    820.00 ×  C",1398,0,1,1398,ｔ単価,302000,422196,42220,230846.75,322724,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250401,2,00198658,00134798,,20644084,日鉄物産ｺｲﾙ中山(ｽｸﾗｯ,00399000,,00000230,竹原,2,大阪本店,,134798,売上,20250401,2,,,その他,末日,10,0,商品,L125040977,2L2300,スクラップ,,,,290,0,1,290,ｔ単価,33500,9715,972,33500,9715,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250401,3,00323798,00024215,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325022205,2L2600,SCGA270DX,"  264",," 1.400 ×    195.00 ×  C",810,0,1,810,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫," 386m",,3/31  出荷,3119,川口知登世
2,営業２部,20250401,3,00323798,00024215,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325030930,2L2600,SCGA270DX,"  264",," 1.400 ×    195.00 ×  C",1430,0,1,1430,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫," 676m",,3/31  出荷,3119,川口知登世
2,営業２部,20250401,3,00323798,00024215,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,運賃,,Z9,配送渡し,,,,0,0,0,2240,ｔ単価,0,17500,1750,0,0,00000301,南港Ａ,,,3/31  出荷,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325021155,2L2300,SPH440,"  797/8",," 1.600 ×    375.00 ×  C",1925,0,1,1925,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫," 407m",,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,C325022330,2C2400,SPC270C," 682",," 0.700 ×    390.00 ×    340.00",0.7290,500,1,364,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325030455,2L2400,SPC440X,"  215/6",," 1.400 ×    345.00 ×  C",1335,0,3,4005,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫," 358m",,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,C325021576,2C2600,SHGA270D," 322",," 2.000 ×    130.00 ×    130.00",0.2670,320,1,85,ｔ単価,0,0,0,0,0,00000205,南港Ｃ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,C325021088,2C2400,SPC270C,"  331",," 1.400 ×    195.00 ×    195.00",0.4180,200,1,84,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,C324120368,2C2400,SPC270C," 329",," 1.200 ×     80.00 ×    190.00",0.1430,300,1,43,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323799,00024217,,20238041,伊藤忠丸紅２課（川村,00304010,上田産業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,運賃,,Z9,配送渡し,,,,0,0,0,6506,ｔ単価,0,17500,1750,0,0,00000301,南港Ａ,,,,3119,川口知登世
2,営業２部,20250401,3,00323801,00024219,,20238041,伊藤忠丸紅２課（川村,00223002,昭栄金属工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325020637,2L2600,SCGA270CX,"  139",," 0.800 ×    176.00 ×  C",585,0,1,585,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323801,00024219,,20238041,伊藤忠丸紅２課（川村,00223002,昭栄金属工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325020638,2L2600,SCGA270CX,"  140",," 0.800 ×    154.00 ×  C",515,0,1,515,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323801,00024219,,20238041,伊藤忠丸紅２課（川村,00223002,昭栄金属工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,運賃,,Z9,配送渡し,,,,0,0,0,1100,ｔ単価,0,16000,1600,0,0,00000301,南港Ａ,,,,3119,川口知登世
2,営業２部,20250401,3,00323803,00024218,,20238041,伊藤忠丸紅２課（川村,00354250,不二工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325031002,2L2600,SHGA270C,"  34/5",," 2.300 ×    360.00 ×  C",830,0,2,1660,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323803,00024218,,20238041,伊藤忠丸紅２課（川村,00354250,不二工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325031003,2L2600,SHGA270C,"  34/5",," 2.300 ×    360.00 ×  C",720,0,3,2160,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323803,00024218,,20238041,伊藤忠丸紅２課（川村,00354250,不二工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325031021,2L2400,SPC270C,"  38/9",," 1.400 ×    275.00 ×  C",660,0,1,660,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323803,00024218,,20238041,伊藤忠丸紅２課（川村,00354250,不二工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,商品,L325031029,2L2400,SPC270C,"  38/9",," 1.400 ×    275.00 ×  C",650,0,3,1950,ｔ単価,0,0,0,0,0,00000204,南港Ｂ倉庫,,,,3119,川口知登世
2,営業２部,20250401,3,00323803,00024218,,20238041,伊藤忠丸紅２課（川村,00354250,不二工業,00000031,的場,2,大阪本店,,,委託出荷,20250401,2,,,配達,20日,10,0,運賃,,Z9,配送渡し,,,,0,0,0,6430,ｔ単価,0,19500,1950,0,0,00000301,南港Ａ,,,,3119,川口知登世
2,営業２部,20250402,2,00198533,00134689,,27161660,山本シャーリング,00270700,山本シャーリング,00000137,新木,2,大阪本店,,134689,売上,20250402,2,030,日本ロジコム(梶原),配達,20日,10,0,商品,C125022455,2C2600,SGCC-ZMX,,," 0.800 ×  1,240.00 ×  1,829.00",14.20,140,1,1988,ｔ単価,105000,208740,20874,85761.32,170494,00000203,南港Ａ倉庫,,,,2158,安藤美佳
2,営業２部,20250402,2,00198533,00134689,,27161660,山本シャーリング,00270700,山本シャーリング,00000137,新木,2,大阪本店,,134689,売上,20250402,2,030,日本ロジコム(梶原),配達,20日,10,0,商品,C125031713,2C2600,SGCC-ZMX,,," 0.800 ×    935.00 ×  1,829.00",11.10,165,1,1832,ｔ単価,95000,174040,17404,84140.28,154145,00000203,南港Ａ倉庫,,,,2158,安藤美佳
2,営業２部,20250402,2,00198534,00134432,,29030260,和田製作所,00290320,和田製作所,00000137,新木,2,大阪本店,,134432,売上,20250402,2,006,新潟運輸,配達,15日,10,0,商品,L125033262,2L2400,SPCC-SD,,," 1.200 ×     57.00 ×  C",0,0,2,296,ｔ単価,190000,56240,5624,175000,51800,00000205,南港Ｃ倉庫,,,,2158,安藤美佳
2,営業２部,20250402,2,00198535,00134106,,25422170,冨士工業,00254240,冨士工業,00000137,新木,2,大阪本店,,134106,売上,20250402,2,006,新潟運輸,配達,20日,10,0,商品,L125033263,2L1000,ＥＣ,,," 0.600 ×     26.00 ×  C",0,0,7,264,ｔ単価,441000,116424,11642,290000,76560,00000217,天野商店,発注№593902,,,2158,安藤美佳
2,営業２部,20250402,2,00198535,00134106,,25422170,冨士工業,00254240,冨士工業,00000137,新木,2,大阪本店,,134106,売上,20250402,2,006,新潟運輸,配達,20日,10,0,商品,L125033264,2L1000,ＥＣ,,," 0.600 ×     25.00 ×  C",0,0,6,211,ｔ単価,441000,93051,9305,290000,61190,00000217,天野商店,発注№599002,,,2158,安藤美佳
2,営業２部,20250402,2,00198535,00134106,,25422170,冨士工業,00254240,冨士工業,00000137,新木,2,大阪本店,,134106,売上,20250402,2,006,新潟運輸,配達,20日,10,0,運賃,,2Z100,立替運賃,,,,0,0,0,0,ｔ単価,0,14500,1450,0,0,00000217,天野商店,,,,2158,安藤美佳
2,営業２部,20250402,2,00198557,00134590,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134590,売上,20250402,2,029,日本ロジコム(下浦),配達,末日,10,0,商品,L125032646,2L2300,SAPH440-P,,," 2.000 ×    112.00 ×  C",1040,0,4,4160,ｔ単価,138000,574080,57408,133691.23,556156,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198557,00134590,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134590,売上,20250402,2,029,日本ロジコム(下浦),配達,末日,10,0,商品,L125032647,2L2300,SAPH440-P,,," 2.000 ×    112.00 ×  C",495,0,3,1485,ｔ単価,138000,204930,20493,134780.20,200149,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198558,00134591,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134591,売上,20250402,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125032680,2L2400,SPCC-SD,,," 0.800 ×     64.00 ×  C",405,0,5,2025,ｔ単価,142000,287550,28755,119705.68,242404,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198558,00134591,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134591,売上,20250402,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125012748,2L2400,SPCC-SD,,," 0.800 ×     88.00 ×  C",260,0,1,260,ｔ単価,142000,36920,3692,110392.95,28702,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198558,00134591,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134591,売上,20250402,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125022697,2L2400,SPCC-SD,,," 0.800 ×     88.00 ×  C",535,0,4,2140,ｔ単価,142000,303880,30388,134314.49,287433,00000204,南港Ｂ倉庫,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198559,00134592,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134592,売上,20250402,2,030,日本ロジコム(梶原),配達,末日,10,0,商品,L125033034,2L2400,SPCC-SD,,," 0.800 ×     39.60 ×  C",197,0,3,591,ｔ単価,172000,101652,10165,151113.37,89308,00000257,三紀興業,,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198561,00134641,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134641,売上,20250402,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,L125033338,2L2300,SS400-P,,," 4.000 ×     75.00 ×  C",870,0,2,1740,ｔ単価,133000,231420,23142,105474.14,183525,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198561,00134641,,21805780,向陽技研,00218131,向陽技研㈱,00000230,竹原,2,大阪本店,,134641,売上,20250402,2,023,BTLﾛｼﾞｽﾃｨｸｽ㈱,配達,末日,10,0,商品,L125033339,2L2300,SS400-P,,," 4.000 ×    135.00 ×  C",1560,0,4,6240,ｔ単価,133000,829920,82992,105474.45,658161,00000250,日鉄物産(旧NSM),,,,2254,山根　茉里奈
2,営業２部,20250402,2,00198572,00134705,,25642324,紅忠 滋賀(ﾊﾟﾅ栗東）,00399900,置場渡し,00000031,的場,2,大阪本店,,134705,売上,20250402,2,,,配達,20日,10,0,商品,,Z10,3/末在庫遡及処理,,,,0,0,0,0,ｔ単価,0,-90855,-9086,0,-89037,00000201,東大阪Ａ,,,淀鋼材,2158,安藤美佳
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125033178,2L1000,ＥＣ," T-2.5",," 0.190 ×     36.50 ×  C",88,0,5,440,ｔ単価,326000,143440,14344,233096.97,102563,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125031101,2L1000,ＥＣ,T-2.5 電炉材 57上,," 0.200 ×     64.00 ×  C",109,0,1,109,ｔ単価,326000,35534,3553,15302.75,1668,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125031102,2L1000,ＥＣ,T-2.5 電炉材 76上,," 0.200 ×     83.00 ×  C",141,0,1,141,ｔ単価,326000,45966,4597,15304.96,2158,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125031109,2L1000,サテン,T-2.5 電炉材 57爪,," 0.200 ×     61.00 ×  C",108,0,1,108,ｔ単価,326000,35208,3521,15305.56,1653,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125031111,2L1000,ＥＣ,T-2.5 電炉材 76穴,," 0.200 ×     82.00 ×  C",146,0,1,146,ｔ単価,326000,47596,4760,15304.79,2234,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198590,00134679,,22194161,三幸プロダクツ 松原,00205500,三幸プロダクツ松原,00000253,畠中,2,大阪本店,,134679,売上,20250402,2,028,中村運送2t車(小林),配達,末日,10,1,商品,L125033033,2L1000,サテン,T-2.5 電炉材 76下,," 0.200 ×    289.00 ×  C",511,0,1,511,ｔ単価,326000,166586,16659,42201.57,21565,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
2,営業２部,20250402,2,00198592,00134665,,22194160,三幸プロダクツ東大阪,00220640,三幸プロダクツ,00000252,吉岡,2,大阪本店,,134665,売上,20250402,2,010,日本鉄鋼物流㈱,配達,末日,10,1,商品,L125031830,2L1000,ＥＣ," T-2.5",," 0.200 ×    120.00 ×  C",269,0,6,1614,ｔ単価,326000,526164,52616,235596.65,380253,00000205,南港Ｃ倉庫,,,,2253,畠中秋輝
